date,vnindex_close,vnindex_volume
2016-10-05,687.04,106465992
2016-10-06,687.32,140831264
2016-10-07,683.95,128830960
2016-10-10,674.19,119618592
2016-10-11,682.36,126219296
2016-10-12,682.45,107650472
2016-10-13,685.23,117781232
2016-10-14,687.0,134748704
2016-10-17,680.95,106159376
2016-10-18,682.02,100892176
2016-10-19,688.89,122517568
2016-10-20,686.39,106042152
2016-10-21,684.83,111996680
2016-10-24,678.02,91994312
2016-10-25,676.18,108043320
2016-10-26,673.61,91959688
2016-10-27,676.9,85549592
2016-10-28,682.25,103029880
2016-10-31,675.8,114384032
2016-11-01,676.6,103689104
2016-11-02,671.4,128035040
2016-11-03,667.63,114649680
2016-11-04,666.73,74501688
2016-11-07,674.14,86516176
2016-11-08,676.46,77559312
2016-11-09,670.26,129849160
2016-11-10,678.17,104949360
2016-11-11,679.2,96643528
2016-11-14,673.05,111753272
2016-11-15,674.26,105064176
2016-11-16,674.6,102400008
2016-11-17,674.57,119114288
2016-11-18,673.25,96180816
2016-11-21,674.29,96259376
2016-11-22,681.91,106254352
2016-11-23,683.16,109567320
2016-11-24,678.18,117539200
2016-11-25,675.87,108511928
2016-11-28,665.29,94780752
2016-11-29,658.26,111429592
2016-11-30,665.07,115315368
2016-12-01,666.54,107595376
2016-12-02,665.14,106687856
2016-12-05,660.21,87046944
2016-12-06,651.49,117960656
2016-12-07,653.53,103897120
2016-12-08,658.89,90796840
2016-12-09,663.07,79953032
2016-12-12,659.7,94354568
2016-12-13,654.66,111295848
2016-12-14,665.14,193827056
2016-12-15,665.92,107135696
2016-12-16,675.16,155852896
2016-12-19,674.33,107085608
2016-12-20,662.66,92619080
2016-12-21,666.94,81863848
2016-12-22,664.15,86318960
2016-12-23,664.37,72131792
2016-12-26,662.45,67026060
2016-12-27,663.86,95593136
2016-12-28,663.5,101515352
2016-12-29,664.72,99258512
2016-12-30,664.87,90082952
2017-01-03,672.01,79722648
2017-01-04,674.7,92285168
2017-01-05,675.81,92735720
2017-01-06,679.8,111701456
2017-01-09,682.57,88221600
2017-01-10,681.07,78938328
2017-01-11,687.16,96461920
2017-01-12,686.96,102618888
2017-01-13,685.06,82155528
2017-01-16,677.94,76123344
2017-01-17,684.71,94123248
2017-01-18,683.28,84747664
2017-01-19,682.31,69116872
2017-01-20,686.26,80002544
2017-01-23,687.15,75819768
2017-01-24,691.36,92470488
2017-01-25,697.28,89267608
2017-02-02,703.18,82117056
2017-02-03,700.35,119246944
2017-02-06,700.04,115790760
2017-02-07,701.91,151064672
2017-02-08,702.04,131301376
2017-02-09,700.65,138329168
2017-02-10,703.78,129049872
2017-02-13,705.9,158112448
2017-02-14,706.26,169469808
2017-02-15,711.57,152178224
2017-02-16,709.35,189608496
2017-02-17,707.83,158563968
2017-02-20,710.59,186577072
2017-02-21,716.55,198966880
2017-02-22,717.24,213358848
2017-02-23,716.87,211235152
2017-02-24,714.47,231146784
2017-02-27,717.44,176837600
2017-02-28,710.79,183667856
2017-03-01,709.52,211022336
2017-03-02,707.51,164954336
2017-03-03,712.62,163479616
2017-03-06,716.29,156471024
2017-03-07,716.54,176411648
2017-03-08,716.6,162940400
2017-03-09,715.8,185884384
2017-03-10,712.21,185800016
2017-03-13,710.17,128790792
2017-03-14,714.71,125968160
2017-03-15,713.14,129782600
2017-03-16,714.92,162314464
2017-03-17,710.54,235368864
2017-03-20,715.07,158390704
2017-03-21,716.18,201545024
2017-03-22,712.94,254610304
2017-03-23,719.56,176869568
2017-03-24,722.14,200241728
2017-03-27,723.52,207369584
2017-03-28,719.26,186623968
2017-03-29,720.47,172783248
2017-03-30,723.86,180388064
2017-03-31,722.31,181949344
2017-04-03,722.38,177623168
2017-04-04,724.14,187134624
2017-04-05,723.22,196707344
2017-04-07,727.95,189771920
2017-04-10,729.87,144425184
2017-04-11,731.33,197010304
2017-04-12,725.58,213521568
2017-04-13,724.35,168105904
2017-04-14,718.45,183224864
2017-04-17,710.83,154510128
2017-04-18,714.93,156906944
2017-04-19,716.77,142094704
2017-04-20,712.66,126310168
2017-04-21,712.41,135054096
2017-04-24,709.39,130598288
2017-04-25,707.58,118490568
2017-04-26,710.04,134378112
2017-04-27,716.53,163523392
2017-04-28,717.73,175388448
2017-05-03,719.54,171302112
2017-05-04,722.02,199868288
2017-05-05,720.0,179559888
2017-05-08,718.86,200827040
2017-05-09,722.11,208779600
2017-05-10,724.31,207084016
2017-05-11,724.99,184210240
2017-05-12,725.37,175831600
2017-05-15,725.35,225319776
2017-05-16,725.03,283954848
2017-05-17,727.2,198441856
2017-05-18,726.99,207715296
2017-05-19,733.82,206013152
2017-05-22,744.1,239570240
2017-05-23,740.93,259848352
2017-05-24,742.74,199021088
2017-05-25,741.91,192597376
2017-05-26,743.41,182563920
2017-05-29,746.25,238391344
2017-05-30,738.21,243938192
2017-05-31,737.82,186925616
2017-06-01,741.8,136852976
2017-06-02,738.81,158389696
2017-06-05,743.49,157936288
2017-06-06,751.31,170985408
2017-06-07,753.46,192456688
2017-06-08,750.13,177323904
2017-06-09,749.72,170601088
2017-06-12,751.09,168761632
2017-06-13,756.89,161488656
2017-06-14,760.77,171969504
2017-06-15,760.57,167176384
2017-06-16,761.24,197561408
2017-06-19,766.83,178860160
2017-06-20,767.99,174198032
2017-06-21,767.41,193042432
2017-06-22,766.3,195240448
2017-06-23,769.01,212981552
2017-06-26,772.52,212480368
2017-06-27,767.51,217431168
2017-06-28,769.04,183969088
2017-06-29,771.75,198273424
2017-06-30,776.47,174259024
2017-07-03,778.88,184944000
2017-07-04,775.54,210154272
2017-07-05,778.32,202614272
2017-07-06,782.65,217294832
2017-07-07,775.73,237199488
2017-07-10,766.56,207352448
2017-07-11,769.36,198966720
2017-07-12,774.17,163785088
2017-07-13,778.3,183220528
2017-07-14,777.6,189812064
2017-07-17,768.91,225831872
2017-07-18,767.49,200170896
2017-07-19,771.3,205221168
2017-07-20,768.41,172387408
2017-07-21,761.86,162474288
2017-07-24,759.74,146939632
2017-07-25,767.27,139610576
2017-07-26,773.88,188632672
2017-07-27,771.5,191455552
2017-07-28,777.09,177186912
2017-07-31,783.55,258874944
2017-08-01,786.81,201096032
2017-08-02,786.23,194673152
2017-08-03,788.49,195378816
2017-08-04,788.68,189697920
2017-08-07,792.98,210247840
2017-08-08,791.57,213528048
2017-08-09,773.66,292800000
2017-08-10,773.43,178658768
2017-08-11,772.08,156764848
2017-08-14,776.17,159668256
2017-08-15,771.06,145550720
2017-08-16,773.57,156131920
2017-08-17,767.59,220817312
2017-08-18,768.97,162337408
2017-08-21,768.79,152433216
2017-08-22,761.26,145586064
2017-08-23,765.98,152551984
2017-08-24,769.77,208934448
2017-08-25,771.63,218270224
2017-08-28,777.26,240572608
2017-08-29,774.03,255981296
2017-08-30,778.65,193501696
2017-08-31,782.76,191640512
2017-09-01,788.73,137922112
2017-09-05,792.31,153098944
2017-09-06,793.55,144149776
2017-09-07,796.72,143543088
2017-09-08,801.2,122103616
2017-09-11,797.47,138937616
2017-09-12,799.94,133449032
2017-09-13,802.78,139692832
2017-09-14,806.32,139385248
2017-09-15,805.82,142760688
2017-09-18,807.87,167579328
2017-09-19,805.93,160487616
2017-09-20,805.86,137465120
2017-09-21,803.93,130773072
2017-09-22,807.13,150404224
2017-09-25,805.58,126085696
2017-09-26,805.35,155559280
2017-09-27,803.77,142029328
2017-09-28,804.82,161963808
2017-09-29,804.42,124246832
2017-10-02,802.23,101214168
2017-10-03,798.0,148251712
2017-10-04,805.66,109394512
2017-10-05,805.23,139253920
2017-10-06,807.8,119942024
2017-10-09,808.96,129149000
2017-10-10,810.65,138217280
2017-10-11,813.95,162513712
2017-10-12,815.87,136859424
2017-10-13,820.95,141206352
2017-10-16,819.43,149621936
2017-10-17,828.29,162270400
